〇	líng	0
㐀	qiū	0
㐁	tiàn	0
㐄	kuà	0
㐅	wǔ	0
㐆	yǐn	0
㐌	yí	0
㐖	xié	0
㐜	chóu	0
㐡	nuò	0
㐤	dān	0
㐨	xù	0
㐩	xíng	0
㐫	xiōng	0
㐬	liú	0
㐭	lǐn	0
㐮	xiāng	0
㐯	yōng	0
㐰	xìn	0
㐱	zhěn	0
㐲	dài	0
㐳	wù	0
㐴	pān	0
㐵	rú	0
㐷	mǎ	0
㐸	qiàn	0
㐹	yì	0
㐺	yín	0
㐻	nèi	0
㐼	chèng	0
㐽	fēng	0
㑁	zhuō	0
㑂	fǎng	0
㑃	ǎo	0
㑄	wǔ	0
㑅	zuò	0
㑇	zhòu	0
㑈	dòng	0
㑉	sù	0
㑊	yì	0
㑋	qióng	0
㑌	kuāng	0
㑍	lèi	0
㑎	nǎo	0
㑏	zhù	0
㑐	shū	0
㑔	xǔ	0
㑗	shēn	0
㑘	jiè	0
㑙	dié	0
㑚	nuó	0
㑛	sù	0
㑜	yì	0
㑝	lòng	0
㑞	yìng	0
㑟	běng	0
㑣	lán	0
㑤	miáo	0
㑥	yì	0
㑦	lì	0
㑧	jì	0
㑨	yǔ	0
㑩	luó	0
㑪	chái	0
㑮	hún	0
㑯	xǔ	0
㑰	huì	0
㑱	rǎo	0
㑳	zhòu	0
㑵	hàn	0
㑶	xì	0
㑷	tài	0
㑸	yáo	0
㑹	huì	0
㑺	jùn	0
㑻	mà	0
㑼	lüè	0
㑽	táng	0
㑾	yáo	0
㑿	zhào	0
㒀	zhāi	0
㒁	yǔ	0
㒂	zhuó	0
㒃	èr	0
㒄	rǎn	0
㒅	qǐ	0
㒆	chì	0
㒇	wǔ	0
㒈	hàn	0
㒉	tǎng	0
㒊	sè	0
㒋	sī	0
㒌	qióng	0
㒍	léi	0
㒎	sà	0
㒑	kuǐ	0
㒒	pú	0
㒓	tà	0
㒔	shú	0
㒕	yāng	0
㒖	ǒu	0
㒗	tái	0
㒙	mián	0
㒚	yìn	0
㒛	diào	0
㒜	yǔ	0
㒝	miè	0
㒞	jùn	0
㒟	niǎo	0
㒠	xiè	0
㒡	yóu	0
㒤	chè	0
㒥	fēng	0
㒦	lěi	0
㒧	lì	0
㒩	luǒ	0
㒫	jì	0
㒰	quán	0
㒲	cái	0
㒳	liǎng	0
㒴	gǔ	0
㒵	mào	0
㒷	guǎ	0
㒸	suì	0
㒻	mào	0
㒼	mán	0
㒽	quān	0
㒾	shì	0
㒿	lí	0
㓁	wǎng	0
㓂	kòu	0
㓃	dù	0
㓄	zhèn	0
㓅	tīng	0
㓈	bìng	0
㓉	huò	0
㓊	dòng	0
㓋	gòng	0
㓌	chēng	0
㓎	qīn	0
㓏	jiǒng	0
㓐	lù	0
㓑	xìng	0
㓓	nán	0
㓔	xiè	0
㓖	bì	0
㓗	jié	0
㓘	sù	0
㓚	gōng	0
㓜	yòu	0
㓝	xíng	0
㓞	qià	0
㓟	pí	0
㓠	diàn	0
㓡	fǔ	0
㓢	luò	0
㓣	qià	0
㓤	qià	0
㓥	tāng	0
㓦	bāi	0
㓧	gān	0
㓨	cí	0
㓩	xuān	0
